time,X,Y,Z,E1,E2,S_LP,S_RS,S_WS,R_LP,R_RS,R_WS,MPT,MPA,MPW,LOAD,CONTACT,BEAD_NUMBER,LASER_ON
02_24_14_36_56_454,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.41322,0.4081,6,False
02_24_14_36_56_464,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.4158,0.421,6,False
02_24_14_36_56_473,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.4158,0.421,6,False
02_24_14_36_56_494,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.41193,0.39132,6,False
02_24_14_36_56_513,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.41451,0.4081,6,False
02_24_14_36_56_531,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.77523,0.0,0.0,2.4171,0.39907,6,False
02_24_14_36_56_539,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.77523,0.0,0.0,2.4171,0.39907,6,False
02_24_14_36_56_546,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.4158,0.29842,6,False
02_24_14_36_56_660,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.41322,0.37068,6,False
02_24_14_36_56_669,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.41451,0.41971,6,False
02_24_14_36_56_678,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.41451,0.42358,6,False
02_24_14_36_56_678,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.41451,0.42358,6,False
02_24_14_36_56_698,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.41451,0.44036,6,False
02_24_14_36_56_708,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.41193,0.43648,6,False
02_24_14_36_56_708,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.41193,0.43648,6,False
02_24_14_36_56_736,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.4158,0.37197,6,False
02_24_14_36_56_744,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.41322,0.44939,6,False
02_24_14_36_56_753,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.41451,0.35003,6,False
02_24_14_36_56_764,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.4171,0.41971,6,False
02_24_14_36_56_772,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.4171,0.41971,6,False
02_24_14_36_56_792,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.41322,0.43778,6,False
02_24_14_36_56_896,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.42097,0.43132,6,False
02_24_14_36_57_000,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.41193,0.38487,6,False
02_24_14_36_57_026,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.77523,0.0,0.0,2.41451,0.40681,6,False
02_24_14_36_57_049,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.4171,0.45068,6,False
02_24_14_36_57_059,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.40806,0.27778,6,False
02_24_14_36_57_067,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.40806,0.27778,6,False
02_24_14_36_57_172,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.41451,0.40294,6,False
02_24_14_36_57_180,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.41451,0.40294,6,False
02_24_14_36_57_192,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.41451,0.461,6,False
02_24_14_36_57_208,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.41451,0.40681,6,False
02_24_14_36_57_208,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.41451,0.40681,6,False
02_24_14_36_57_219,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.4158,0.39132,6,False
02_24_14_36_57_335,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.40032,0.42874,6,False
02_24_14_36_57_343,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.40032,0.42874,6,False
02_24_14_36_57_343,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.40032,0.42874,6,False
02_24_14_36_57_363,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.4158,0.3281,6,False
02_24_14_36_57_371,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.4171,0.3681,6,False
02_24_14_36_57_390,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.4158,0.41971,6,False
02_24_14_36_57_390,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.4158,0.41971,6,False
02_24_14_36_57_414,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.41451,0.39907,6,False
02_24_14_36_57_414,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.41451,0.39907,6,False
02_24_14_36_57_531,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.41322,0.43132,6,False
02_24_14_36_57_650,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.41064,0.43132,6,False
02_24_14_36_57_658,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.4171,0.43003,6,False
02_24_14_36_57_668,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.4171,0.43003,6,False
02_24_14_36_57_680,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.4158,0.37068,6,False
02_24_14_36_57_680,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.4158,0.37068,6,False
02_24_14_36_57_698,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.4158,0.36165,6,False
02_24_14_36_57_715,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.41322,0.39132,6,False
02_24_14_36_57_727,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.4158,0.38358,6,False
02_24_14_36_57_739,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.41193,0.42745,6,False
02_24_14_36_57_757,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.41451,0.40165,6,False
02_24_14_36_57_770,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.25911,0.0,0.0,2.41322,0.39907,6,False
02_24_14_36_57_779,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.4158,0.38358,6,False
02_24_14_36_57_787,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.4171,0.42745,6,False
02_24_14_36_57_796,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.77523,0.0,0.0,2.41451,0.40036,6,False
02_24_14_36_57_804,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.41451,0.38616,6,False
02_24_14_36_57_820,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.41451,0.38745,6,False
02_24_14_36_57_820,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.41451,0.38745,6,False
02_24_14_36_57_847,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.41193,0.39391,6,False
02_24_14_36_57_952,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.4158,0.43261,6,False
